Date,ipo_name,issue_size_cr,qib_subscription,hni_subscription,rii_subscription,total_subscription,issue_price,listing_open,listing_close,listing_gains_pct,cmp,Current  Gains (%),Year,Month,Quarter,listing_gain_abs,performance_category,nifty_close,nifty_30d_return,Month_Name
2016-05-19,Parag Milk Food,764.3,1.15,3.08,2.12,1.83,215.0,230.0,247.8,15.26,138.55,-35.56,2016,5,2,32.80000000000001,Moderate,7783.4,0.3170593390730447,May
2016-07-01,Mahanagar Gas,1039.64,72.84,191.61,6.82,64.54,421.0,540.0,519.9,23.49,1165.95,176.95,2016,7,3,98.89999999999998,Moderate,8328.35,7.466740648025083,Jul
2016-07-12,Quess Corp,400.0,59.02,392.21,31.23,143.99,317.0,500.0,503.0,58.68,867.2,173.56,2016,7,3,186.0,Blockbuster,8521.05,4.188420859570807,Jul
2016-07-21,L&T Infotech,1242.0,19.91,10.76,7.39,11.69,710.0,667.0,697.65,-1.74,4684.8,559.83,2016,7,3,-12.350000000000025,Loss,8510.1,2.8653277811689915,Jul
2016-08-01,Advanced Enzyme,60.0,94.03,393.1,11.67,116.02,896.0,1210.0,235.66,-73.7,399.45,-55.42,2016,8,3,-660.34,Loss,8636.55,5.707938606154062,Aug
2016-08-11,Dilip Buildcon,430.0,0.0,0.0,0.0,0.0,219.0,240.0,251.95,15.05,560.0,155.71,2016,8,3,32.94999999999999,Moderate,8592.15,4.731228668941978,Aug
2016-08-12,S P Apparels,215.0,1.0,0.45,0.54,0.66,268.0,275.0,295.0,10.07,324.05,20.91,2016,8,3,27.0,Moderate,8672.15,4.638170794244512,Aug
2016-08-31,RBL Bank,1100.0,85.08,198.06,5.7,69.62,225.0,274.4,299.3,33.02,192.95,-14.24,2016,8,3,74.30000000000001,Strong,8786.2,3.021029366070449,Aug
2016-09-23,L&T Technology,900.0,5.01,1.03,1.74,2.52,860.0,900.0,865.1,0.59,3720.0,332.56,2016,9,3,5.100000000000023,Weak,8831.55,1.766485178463384,Sep
2016-09-27,GNA Axles,130.41,17.18,217.47,11.84,54.88,207.0,252.0,233.45,12.78,651.0,214.49,2016,9,3,26.44999999999999,Moderate,8706.4,1.3297021118113594,Sep
2016-09-29,ICICI Prudentia,6057.0,11.83,28.55,1.42,10.48,334.0,329.0,297.65,-10.88,631.6,89.1,2016,9,3,-36.35000000000002,Loss,8591.25,-0.5935748129892171,Sep
2016-10-04,HPL Electric & ,361.0,5.77,22.2,3.31,8.06,202.0,190.0,189.05,-6.41,83.55,-58.64,2016,10,4,-12.949999999999989,Loss,8769.15,1.1797759291096055,Oct
2016-10-19,Endurance Techn,1161.0,1.7,0.13,0.82,0.92,472.0,572.0,647.7,37.22,1734.0,267.37,2016,10,4,175.70000000000005,Strong,8659.1,-1.3168616412050582,Oct
2016-11-07,PNB Housing Fin,3000.0,37.33,86.17,1.32,29.53,775.0,860.0,890.6,14.92,677.25,-12.61,2016,11,4,115.60000000000002,Moderate,8497.05,-4.17707458175689,Nov
2016-11-08,Varun Beverages,1114.0,4.94,0.42,0.82,1.86,445.0,430.0,205.29,-53.87,758.4,70.43,2016,11,4,-239.71,Loss,8543.55,-3.2610357185318573,Nov
2016-12-09,Sheela Foam,178.5,14.51,3.35,0.44,5.09,730.0,860.0,1032.0,41.37,2385.0,226.71,2016,12,4,302.0,Strong,8261.75,-4.103189112329875,Dec
2016-12-19,Laurus Labs,560.7,10.54,3.57,1.58,4.53,428.0,489.9,96.1,-77.55,640.65,49.68,2016,12,4,-331.9,Loss,8104.35,-3.905735882614492,Dec
2017-02-03,BSE Limited,1243.0,48.64,159.03,6.48,51.22,806.0,1085.0,1069.2,32.66,1248.8,54.94,2017,2,1,263.20000000000005,Strong,8740.95,9.548069331127572,Feb
2017-03-17,Music Broadcast,488.53,39.78,109.13,9.85,39.67,333.0,413.0,59.7,-82.07,24.6,-92.61,2017,3,1,-273.3,Loss,9160.05,5.089830664035611,Mar
2017-03-21,Avenue Supermar,1870.0,144.61,277.74,7.3,104.48,299.0,604.0,640.75,114.3,3500.55,1070.75,2017,3,1,341.75,Blockbuster,9121.5,4.353645770768622,Mar
2017-03-31,CL Educate,238.95,3.65,0.21,1.63,1.9,500.0,398.0,417.9,-16.42,159.65,-68.07,2017,3,1,-82.10000000000002,Loss,9173.75,5.146881841209439,Mar
2017-04-05,Shankara Buildi,232.96,51.62,90.68,15.35,41.88,460.0,545.0,632.8,37.57,654.25,42.23,2017,4,2,172.79999999999995,Strong,9265.15,5.0268088917102105,Apr
2017-05-09,S Chand and Co,325.0,44.27,204.65,6.07,59.49,670.0,675.85,675.85,0.87,141.0,-78.96,2017,5,2,5.850000000000023,Weak,9316.85,2.537336429569814,May
2017-05-19,HUDCO,1224.0,55.45,330.36,10.79,79.53,58.0,76.5,72.5,25.0,45.3,-21.9,2017,5,2,14.5,Moderate,9427.9,1.7565824622375326,May
2017-05-29,PSP Projects,211.68,8.38,10.39,6.47,8.58,210.0,195.0,208.95,-0.5,464.75,121.31,2017,5,2,-1.0500000000000114,Loss,9604.9,4.962407658346812,May
2017-06-06,IndiGrid InvIT ,2250.0,1.14,1.6,0.0,1.35,100.0,99.7,95.08,-4.92,141.25,41.25,2017,6,2,-4.920000000000002,Loss,9637.15,4.547648880716415,Jun
2017-06-27,Tejas Networks,326.69,2.16,0.48,3.1,1.88,257.0,257.7,263.3,2.45,258.3,0.51,2017,6,2,6.300000000000011,Weak,9511.4,0.698752832066396,Jun
2017-06-29,Eris Life,1741.1,4.68,0.45,3.51,3.29,603.0,612.0,601.05,-0.32,792.1,31.36,2017,6,2,-1.9500000000000453,Loss,9504.1,-0.2272786919665037,Jun
2017-06-30,CDSL,523.99,148.71,563.03,23.83,170.16,149.0,250.0,261.6,75.57,1331.45,793.59,2017,6,2,112.60000000000002,Blockbuster,9520.9,0.9698338715407484,Jun
2017-07-04,GTPL Hathway,484.8,1.48,2.48,0.99,1.53,170.0,170.0,171.65,0.97,191.35,12.56,2017,7,3,1.6500000000000057,Weak,9613.3,1.854687044738168,Jul
2017-07-10,AU Small Financ,1912.51,78.77,143.51,3.52,53.6,358.0,544.0,541.2,51.17,1219.9,240.75,2017,7,3,183.20000000000005,Blockbuster,9771.05,1.8337484757845024,Jul
2017-07-25,Salasar Techno ,35.87,0.0,487.18,58.59,277.28,108.0,259.45,272.1,151.94,342.0,216.67,2017,7,3,164.10000000000002,Blockbuster,9964.55,3.620377688116138,Jul
2017-08-10,SIS,362.25,5.64,1.65,18.67,6.92,815.0,875.0,378.35,-53.58,485.0,-40.49,2017,8,3,-436.65,Loss,9820.25,3.3264591071221927,Aug
2017-08-11,Cochin Shipyard,1454.0,63.51,288.87,8.12,76.06,432.0,461.0,522.0,20.83,376.45,-12.86,2017,8,3,90.0,Moderate,9710.8,1.9945593378777104,Aug
