Date,IPO Name,Profile,Issue Size (in crores),QIB,HNI,RII,Total,Issue,Listing Open,Listing Close,Listing Gains(%),CMP,Current  Gains (%)
27-12-12,PC Jeweller,https://www.moneycontrol.com/ipo/pc-jeweller_PJ.html,609.3,7.33,18.12,1.68,6.85,135.0,137.0,74.5,-44.81,24.60,-81.78
26-12-12,CARE Ratings,https://www.moneycontrol.com/ipo/care-ratings_CAR.html,539.98,45.8,110.96,6.18,40.98,750.0,940.0,923.95,23.19,721.50,-3.8
06-12-12,Tara Jewels,https://www.moneycontrol.com/ipo/tara-jewels_TJ01.html,0.0,1.49,3.1,2.05,1.98,230.0,242.0,229.95,-0.02,0.76,-99.67
18-07-12,VKS Projects,https://www.moneycontrol.com/ipo/vks-projects_VP08.html,55.0,1.15,0.38,1.13,1.03,55.0,55.8,1.57,-97.15,0.04,-99.93
30-05-12,Speciality Rest,https://www.moneycontrol.com/ipo/speciality-rest_SR04.html,181.96,4.68,2.19,0.55,2.54,150.0,153.0,160.65,7.1,73.70,-50.87
09-05-12,Tribhovandas,https://www.moneycontrol.com/ipo/tribhovandas_TBZ.html,210.0,1.29,1.91,0.68,1.15,120.0,115.0,111.2,-7.33,84.25,-29.79
12-04-12,MT Educare,https://www.moneycontrol.com/ipo/mt-educare_ME16.html,99.0,6.01,8.0,2.17,4.8,80.0,86.05,90.35,12.94,9.75,-87.81
12-04-12,NBCC (India),https://www.moneycontrol.com/ipo/nbcc-(india)_NBC.html,127.2,7.07,1.7,3.4,4.93,106.0,100.0,6.47,-93.9,51.45,-51.46
28-03-12,Olympic Cards,https://www.moneycontrol.com/ipo/olympic-cards_OC11.html,25.0,0.0,3.43,1.36,0.99,30.0,29.95,28.5,-5.0,2.79,-90.7
09-03-12,MCX India,https://www.moneycontrol.com/ipo/mcx-india_MCE.html,663.31,49.12,150.35,24.14,54.13,1032.0,1387.0,1297.05,25.68,"1,599.65",55.0
02-11-11,Indo Thai Secu,https://www.moneycontrol.com/ipo/indo-thai-secu_ITS.html,33.6,0.0,0.02,3.31,1.16,74.0,76.0,23.0,-68.92,71.00,-4.05
24-10-11,Vaswani Ind,https://www.moneycontrol.com/ipo/vaswani-ind_VI17.html,49.0,0.16,11.29,6.82,4.16,49.0,33.45,17.75,-63.78,13.63,-72.18
20-10-11,Ujaas Energy,https://www.moneycontrol.com/ipo/ujaas-energy_S16.html,93.0,1.03,1.56,2.35,1.57,186.0,180.0,31.76,-82.92,2.99,-98.39
19-10-11,Flexituff Ventu,https://www.moneycontrol.com/ipo/flexituff-ventu_FI19.html,104.63,0.51,1.55,1.55,1.03,155.0,155.0,166.4,7.35,21.35,-86.23
19-10-11,Taksheel Solut,https://www.moneycontrol.com/ipo/taksheel-solut_TS13.html,82.5,0.24,4.7,6.18,2.99,150.0,157.4,58.15,-61.23,3.85,-97.43
17-10-11,Onelife Capital,https://www.moneycontrol.com/ipo/onelife-capital_OCA.html,36.85,1.02,0.93,2.32,1.51,110.0,115.0,145.9,32.64,12.11,-88.99
04-10-11,Setubandhan Inf,https://www.moneycontrol.com/ipo/setubandhan-inf_PC20.html,60.0,0.31,2.76,4.68,2.21,138.0,145.0,22.95,-83.37,1.46,-98.94
26-09-11,PG Electroplast,https://www.moneycontrol.com/ipo/pg-electroplast_PE06.html,120.65,0.98,1.84,1.64,1.34,210.0,200.0,411.65,96.02,377.80,79.9
16-09-11,SRS,https://www.moneycontrol.com/ipo/srs_S15.html,227.5,0.74,5.0,0.29,1.22,58.0,55.0,16.83,-70.98,0.19,-99.67
08-09-11,TD Power System,https://www.moneycontrol.com/ipo/td-power-system_TPS.html,227.0,6.52,0.32,0.36,2.72,256.0,251.6,274.8,7.34,193.10,-24.57
05-09-11,Brooks Labs,https://www.moneycontrol.com/ipo/brooks-labs_BL04.html,63.0,0.0,2.82,3.36,1.6,100.0,110.0,50.2,-49.8,88.50,-11.5
26-08-11,Tree House,https://www.moneycontrol.com/ipo/tree-house_THE01.html,112.06,1.02,1.68,2.76,1.85,135.0,132.8,116.55,-13.67,11.06,-91.81
12-08-11,L&T Finance,https://www.moneycontrol.com/ipo/landt-finance_LFH.html,1245.0,1.93,6.18,9.61,5.34,52.0,53.85,46.46,-10.65,88.30,69.81
